index,result,time(s)
1,10355,0.0009992122650146484
2,9041,0.0
3,11041,0.0009984970092773438
4,13041,0.000995635986328125
5,10827,0.0009989738464355469
6,9513,0.0009987354278564453
7,11513,0.0009992122650146484
8,13513,0.0
9,10355,0.0009996891021728516
10,9041,0.004997730255126953
11,11041,0.0
12,13041,0.0
13,12878,0.0010023117065429688
14,10026,0.0010051727294921875
15,14026,0.0009996891021728516
16,18026,0.0
17,12878,0.0009992122650146484
18,10026,0.0009992122650146484
19,14026,0.0009965896606445312
20,18026,0.0010030269622802734
21,12878,0.0009987354278564453
22,10026,0.0010004043579101562
23,14026,0.0009996891021728516
24,18026,0.0010001659393310547
25,19316,0.001999378204345703
26,15925,0.0019981861114501953
27,21925,0.0019989013671875
28,27925,0.0019989013671875
29,19341,0.00299835205078125
30,15950,0.00699305534362793
31,21950,0.002015829086303711
32,27950,0.0019986629486083984
33,19271,0.0020182132720947266
34,15880,0.001998424530029297
35,21880,0.0019986629486083984
36,27880,0.0019989013671875
37,19258,0.0020012855529785156
38,15867,0.002998828887939453
39,21867,0.0020170211791992188
40,27867,0.001998424530029297
41,8853,0.0019981861114501953
42,10681,0.0009989738464355469
43,13901,0.0009996891021728516
44,12280,0.0019795894622802734
45,12949,0.000982522964477539
46,15029,0.0010156631469726562
47,14162,0.0019989013671875
48,15171,0.00099945068359375
49,16057,0.00099945068359375
50,10106,0.0020024776458740234
51,11821,0.0010001659393310547
52,15442,0.0009992122650146484
53,15279,0.001998424530029297
54,15941,0.0009999275207519531
55,15614,0.003997325897216797
56,28184,0.0029981136322021484
57,37184,0.00501561164855957
58,58184,0.0029976367950439453
59,43423,0.002997875213623047
60,28184,0.002992868423461914
61,37184,0.005994558334350586
62,58184,0.00299835205078125
63,43423,0.00299835205078125
64,28184,0.00499725341796875
65,37184,0.003981828689575195
66,58184,0.002997875213623047
67,43802,0.002997875213623047
68,28184,0.00299835205078125
69,37184,0.004997730255126953
70,58184,0.0029985904693603516
71,43423,0.00299835205078125
