index,result,time(s)
1,10017,1.5760796070098877
2,8917,1.553109884262085
3,10597,1.593069314956665
4,12197,1.6040825843811035
5,10649,1.6690452098846436
6,9512,1.6090798377990723
7,11312,1.6870336532592773
8,13048,2.1137917041778564
9,9530,2.522538900375366
10,8778,2.225726842880249
11,10163,1.7729880809783936
12,11363,1.5171136856079102
13,10595,6.193459749221802
14,8711,6.326403379440308
15,11111,6.599247694015503
16,13429,6.627212047576904
17,10636,6.397361993789673
18,8738,7.244858980178833
19,11287,6.9150474071502686
20,13605,6.405320167541504
21,10595,6.222443580627441
22,8711,6.794118404388428
23,11111,6.143488645553589
24,13355,6.118520021438599
25,16619,35.55166482925415
26,14114,36.017414808273315
27,18714,36.284278869628906
28,22967,35.501709938049316
29,16857,35.855507373809814
30,14321,35.726579666137695
31,19121,38.24715781211853
32,23865,38.37604999542236
33,16550,34.81510305404663
34,14045,34.53126406669617
35,18645,35.08494758605957
36,23099,34.74914002418518
37,16537,34.24642896652222
38,14032,34.43332099914551
39,18632,34.16245675086975
40,22954,34.323401927948
41,8261,3.495983123779297
42,8821,9.663477182388306
43,10336,16.68346643447876
44,11871,3.107206344604492
45,10197,9.809394121170044
46,12228,16.67646884918213
47,13011,2.161764621734619
48,12459,12.836663246154785
49,13318,17.58992838859558
50,9267,3.3920786380767822
51,9772,13.128496646881104
52,15120,4.072653532028198
53,12720,12.134047269821167
54,15296,3.611917495727539
55,13321,13.372340440750122
56,26839,45.43601441383362
57,33635,47.013150453567505
58,47950,56.13689970970154
59,36571,48.26641774177551
60,26748,46.43044686317444
61,33541,47.46885132789612
62,47670,87.66889500617981
63,36372,53.962156772613525
64,26748,52.48202419281006
65,33541,44.34965205192566
66,47670,43.8199565410614
67,36486,47.72970366477966
68,26748,49.404762506484985
69,33541,49.31882977485657
70,47691,51.8823447227478
71,36372,49.48769783973694
